with_error	corrected
contussion	contusion
contustion	contusion
coough	cough
cooughing	coughing
copugh	cough
corrected	correct
cosntipation	constipation
cougfh	cough
couggh	cough
cougha	cough
coughed	cough
coughg	cough
coughh	cough
coughhing	coughing
coughi	cough
coughig	cough
coughign	coughing
coughiing	coughing
coughin	cough
coughingx	coughing
coughiong	coughing
coughm	cough
coughn	cough
coughng	cough
coughning	coughing
coughs	cough
cought	cough
coughting	coughing
coughx	cough
coughx1	cough
coughx2	cough
coughx3	cough
coughx4	cough
cougth	cough
couhg	cough
couhgh	cough
couhging	coughing
couigh	cough
couighing	coughing
counghing	coughing
couogh	cough
couugh	cough
couughing	coughing
cpain	pain
cpough	cough
crams	cramps
crapms	cramps
crashed	crash
cring	crying
crissis	crisis
cryst	cyst
cuogh	cough
cvhest	chest
cycst	cyst
cylist	cyst
cyring	crying
cyste	cyst
cysts	cyst
dache	ache
daibetic	diabetic
dailysis	dialysis
dairrhea	diarrhea
dasy	days
dayas	days
dayss	days
ddiarrhea	diarrhea
dehdyration	dehydration
dehydartion	dehydration
dehyrdation	dehydration
denatal	dental
denatl	dental
dential	dental
deotx	detox
deperssion	depression
deppressed	depressed
deppression	depression
depresssed	depressed
depresssion	depression
despression	depression
detoxed	detox
detoxs	detox
dextox	detox
deyhdration	dehydration
diaarhrea	diarrhea
diaarrhea	diarrhea
diabectic	diabetic
diabetics	diabetic
diahrrea	diarrhea
diahrrhea	diarrhea
dialyisis	dialysis
dialys	dialysis
diarea	diarrhea
diarhrea	diarrhea
diarrahea	diarrhea
diarreah	diarrhea
diarreha	diarrhea
diarrehea	diarrhea
diarrhae	diarrhea
diarrheaa	diarrhea
diarrhead	diarrhea
diarrheal	diarrhea
diarrhear	diarrhea
diarrheax	diarrhea
diarrheax1	diarrhea
diarrheax2	diarrhea
diarrhera	diarrhea
diarrhhea	diarrhea
diarrhoea	diarrhea
diarrhrea	diarrhea
diarrihea	diarrhea
diarrrhea	diarrhea
diaylisis	dialysis
diaylsis	dialysis
didgit	digit
diffciulty	difficulty
difff	diff
diffficulty	difficulty
diffi	diff
diffic	diff
difficculty	difficulty
difficluty	difficulty
difficuilty	difficulty
difficulity	difficulty
difficullty	difficulty
difficulthy	difficulty
difficultly	difficulty
difficultty	difficulty
difficutly	difficulty
diffilculty	difficulty
diffiuclty	difficulty
digital	digit
digits	digit
diifficulty	difficulty
diizziness	dizziness
dilaysis	dialysis
dirarrhea	diarrhea
dirrahea	diarrhea
disacharge	discharge
discahrge	discharge
dischagre	discharge
discharage	discharge
discharege	discharge
discharged	discharge
discharges	discharge
dischrage	discharge
discomforts	discomfort
discomfrot	discomfort
discorder	disorder
diseases	disease
dishcarge	discharge
dishcharge	discharge
disorderly	disorder
disorders	disorder
disstress	distress
distressed	distress
dizizness	dizziness
dizzieness	dizziness
dizzienss	dizziness
dizziiness	dizziness
dizzinesss	dizziness
dizzinessx	dizziness
dizzinessx1	dizziness
dizzinessx2	dizziness
dizziniess	dizziness
dizzinness	dizziness
dizziy	dizzy
dizzniess	dizziness
dizzniness	dizziness
dizzyiness	dizziness
dizzziness	dizziness
dizzzy	dizzy
dolore	dolor
downs	down
dpain	pain
drepressed	depressed
dring	drinking
drinkg	drinking
druged	drug
drugs	drug
dsypnea	dyspnea
dsyuria	dysuria
durg	drug
dyas	days
dypsnea	dyspnea
dysnpea	dyspnea
dyspena	dyspnea
dyspenea	dyspnea
dyspenia	dyspnea
dysruia	dysuria
dyssuria	dysuria
dysuira	dysuria
eache	earache
eara	ear
earaache	earache
earacheg	earache
earaches	earache
earachex	earache
earahce	earache
earcache	earache
earcahe	earache
earche	earache
eareache	earache
earhace	earache
earing	earring
earrache	earache
easr	ears
eathing	eating
eatting	eating
eaval	evaluation
eavaluation	evaluation
eavl	evaluation
eavluation	evaluation
eblow	elbow
edemia	edema
edmea	edema
elblow	elbow
elbowed	elbow
elbows	elbow
elevatedbp	elevated_blood_pressure
eleveated	elevated
elft	left
elva	evaluation
elvaluation	evaluation
emoval	removal
eoth	etoh
epain	pain
epicgastric	epigastric
epigasrtic	epigastric
epigasteric	epigastric
epigastirc	epigastric
epigrastric	epigastric
episgastric	epigastric
episodes	episode
epistaxsis	epistaxis
epsiode	episode
epsitaxis	epistaxis
epsoide	episode
eraache	earache
erache	earache
eras	ears
espigastric	epigastric
espisode	episode
etho	etoh
ethoh	etoh
ethol	etoh
ethroat	throat
etoch	etoh
etoth	etoh
eval	evaluation
evala	evaluation
evalatuion	evaluation
evalauation	evaluation
evalaution	evaluation
evall	evaluation
evalluation	evaluation
evals	evaluation
evalu	evaluation
evalua	evaluation
evaluaation	evaluation
evaluaiton	evaluation
evalualtion	evaluation
evaluatiion	evaluation
evaluatioin	evaluation
evaluations	evaluation
evaluatuion	evaluation
evaluiation	evaluation
evalulation	evaluation
evalutaion	evaluation
evalutation	evaluation
evaualtion	evaluation
evaul	evaluation
evaulation	evaluation
evauluation	evaluation
eveal	evaluation
evealuation	evaluation
evla	evaluation
evlauation	evaluation
evual	evaluation
evualation	evaluation
evualuation	evaluation
exacerabation	exacerbation
exascerbation	exacerbation
excacerbation	exacerbation
excaerbation	exacerbation
expistaxis	epistaxis
explosure	exposure
expossure	exposure
expousre	exposure
expousure	exposure
exsposure	exposure
exspoure	exposure
extermity	extremity
extremeity	extremity
extremitiy	extremity
eyebrown	eyebrow
eyebrows	eyebrow
facail	facial
faced	face
faceial	facial
faces	face
facical	facial
faciel	facial
facila	facial
faical	facial
faliure	failure
fallc	fall
fallen	fall
falli	fall
fallin	fall
falll	fall
fallot	fall
falls	fall
fallx	fall
falnk	flank
farcture	fracture
fascial	facial
fatigued	fatigue
fatiuge	fatigue
featal	fetal
featl	fetal
feaver	fever
feeel	feel
feeeling	feeling
feeels	feels
feeet	feet
feeli	feel
feelig	feel
feeliing	feeling
feelin	feel
feelings	feeling
feell	fell
feelling	feeling
feelng	feel
feets	feet
feever	fever
feevr	fever
fefver	fever
felled	fell
fellin	fell
felll	fell
fellon	fell
fells	fell
ferquent	frequent
ferver	fever
fetel	fetal
fevber	fever
fevcer	fever
feveer	fever
fever`	fever
fever2	fever
fever3	fever
fevera	fever
fevere	fever
feverf	fever
feverm	fever
fevern	fever
feverr	fever
fevers	fever
fevert	fever
feverw	fever
feverx	fever
feverx1	fever
feverx2	fever
feverx3	fever
fevet	fever
fevewr	fever
fevfer	fever
fevre	fever
fevrer	fever
fevver	fever
fevwer	fever
fewver	fever
ffever	fever
ffrom	from
figner	finger
fiinger	finger
fingers	finger
fingert	finger
fingure	finger
flanck	flank
flankl	flank
flankpn	flank
flanks	flank
fliud	fluid
flnak	flank
fluids	fluid
fndy	fdny
folllow	follow
followed	follow
followup	follow
fooot	foot
foort	foot
footb	foot
foots	foot
foott	foot
footx	foot
forearms	forearm
foregin	foreign
forehaed	forehead
foreighn	foreign
foreing	foreign
forgein	foreign
foriegn	foreign
forieng	foreign
forigen	foreign
forms	form
fractured	fracture
fractures	fracture
fracutre	fracture
frenquency	frequency
frequencey	frequency
frequently	frequent
frever	fever
fromm	from
fronm	from
fuild	fluid
fulid	fluid
fveer	fever
fvere	fever
fwever	fever
genearl	general
genearlized	generalized
generali	general
generaliz	general
generally	general
generealized	generalized
generlaized	generalized
genreal	general
genrealized	generalized
gerenal	general
gerneral	general
gerneralized	generalized
gorin	groin
grion	groin
groain	groin
groind	groin
groine	groin
groing	growing
groins	groin
growin	growing
hace	ache
hache	headache
hadn	hand
haead	head
haeadache	headache
haeadche	headache
haed	head
haedache	headache
haematuria	hematuria
handed	hand
handle	hand
haveing	having
haven	havent
hdache	headache
heaad	head
heaadache	headache
heacdache	headache
heache	headache
heaches	headache
heada	head
headaache	headache
headac	headache
headacahe	headache
headacche	headache
headaceh	headache
headacehe	headache
headachce	headache
headached	headache
headachee	headache
headachem	headache
headacher	headache
headaches	headache
headachex	headache
headachex1	headache
headachex2	headache
headachex3	headache
headachex4	headache
headadche	headache
headae	headache
headah	headache
headahce	headache
headahces	headache
headaxche	headache
headcache	headache
headcahe	headache
headcahes	headache
headd	head
headdache	headache
heade	head
headeache	headache
headed	head
headf	head
headhace	headache
headhache	headache
headon	head
heads	head
heaedache	headache
heamaturia	hematuria
heamturia	hematuria
heand	head
heaqdache	headache
heardache	headache
hearring	hearing
hears	hear
hearth	heart
hearts	heart
heasd	head
heasdache	headache
heav	heave
heaves	heave
heavey	heavy
heavily	heavy
heaving	heave
heeadache	headache
heigh	height
hematauria	hematuria
hematouria	hematuria
hematurria	hematuria
hemmorrhage	hemorrhage
hemorraghe	hemorrhage
heqadache	headache
heradache	headache
heraing	hearing
herat	heart
hered	here
herina	hernia
hermaturia	hematuria
hernial	hernia
hernias	hernia
herpe	herpes
hersel	herself
hgih	high
hheadache	headache
highbp	high_blood_pressure
higher	high
highg	high
highly	high
hight	high
hihg	high
hipand	hip
hits	hit
hnad	hand
hpyerglycemia	hyperglycemia
htroat	throat
hurst	hurt
hursts	hurt
hurti	hurt
hurtig	hurt
hurtin	hurt
hyperextension	hypertension
hyperglycaemia	hyperglycemia
hyperglycemina	hyperglycemia
hyperglycermia	hyperglycemia
hypergylcemia	hyperglycemia
hypertenison	hypertension
hypertenstion	hypertension
hypoglycaemia	hypoglycemia
hypoglycermia	hypoglycemia
hypogylcemia	hypoglycemia
hypolglycemia	hypoglycemia
hypontension	hypotension
hypotenstion	hypotension
hyptertension	hypertension
icant	cant
iching	itching
ichting	itching
icth	itch
icthing	itching
icthy	itchy
idealation	ideation
idealtion	ideation
ideations	ideation
idelations	ideation
ifeel	feel
ihave	have
iinfection	infection
iinjury	injury
ijnury	injury
inbleed	bleed
indcution	induction
indeation	ideation
indegestion	indigestion
indexs	index
indigestion	indigestion
inductions	induction
ineed	need
infeaction	infection
infecction	infection
infecetion	infection
infeciton	infection
infectiion	infection
infectioin	infection
infections	infection
infecttion	infection
inffection	infection
inflected	infected
ingroin	groin
injjury	injury
injnury	injury
injrury	injury
injruy	injury
injuary	injury
injuiry	injury
injurey	injury
injuried	injured
injurty	injury
injuruy	injury
injuryed	injured
injuryl	injury
injuryn	injury
injurys	injury
injuryt	injury
injuryto	injury
injuryu	injury
injuryy	injury
injuury	injury
injuyr	injury
inleft	left
innjury	injury
inotx	intox
inotxicated	intoxicated
inright	right
inscect	insect
inscet	insect
insecte	insect
insects	insect
insent	sent
insite	site
instool	stool
intching	itching
intest	test
intoxc	intoxicated
intoxciated	intoxicated
intoxciation	intoxication
intoxcicated	intoxicated
intoxcication	intoxication
intoxed	intoxicated
intoxi	intoxicated
intoxiaction	intoxication
intoxic	intoxicated
intoxicaiton	intoxication
intoxications	intoxication
intoxicattion	intoxication
intoxification	intoxication
intoxs	intoxicated
intoxticated	intoxicated
intoxtication	intoxication
intract	tract
inujury	injury
inurine	urine
irriatation	irritation
irritaiton	irritation
irritational	irritation
irritations	irritation
irritiation	irritation
isde	side
issues	issue
issuses	issue
itche	itch
itches	itch
itchey	itchy
itchi	itch
itchig	itch
itchiing	itching
itchin	itching
itchiy	itchy
itchng	itch
itchting	itching
itchying	itching
ithching	itching
ithchy	itchy
ithcing	itching
ithcy	itchy
itiching	itching
itichy	itchy
itnox	intoxicated
iwant	want
joints	joint
jpain	pain
jtube	tube
kiddney	kidney
kideny	kidney
kidneys	kidney
kindey	kidney
kindney	kidney
kinee	knee
kleft	left
kneck	neck
kneed	knee
kneee	knee
kneen	knee
knees	knee
kneew	knee
knight	night
knnee	knee
kpain	pain
laaceration	laceration
labaor	labor
labored	labor
labour	labor
labwork	labor
lacaeration	laceration
lacaertion	laceration
lacareation	laceration
lacceration	laceration
lacearation	laceration
laceartion	laceration
laceeration	laceration
laceraation	laceration
laceraction	laceration
laceraqtion	laceration
lacerartion	laceration
lacerastion	laceration
laceratiion	laceration
laceratino	laceration
laceratioin	laceration
lacerationn	laceration
lacerationof	laceration
lacerationon	laceration
lacerations	laceration
lacerationt	laceration
lacerationto	laceration
laceratioon	laceration
laceratoin	laceration
laceratrion	laceration
lacerattion	laceration
lacerration	laceration
lacertaion	laceration
lacertation	laceration
lacreation	laceration
lacteration	laceration
lankle	ankle
larceration	laceration
lasceration	laceration
lasted	last
lastn	last
lastni	last
lbaor	labor
lcaeration	laceration
leaft	left
learache	earache
ledft	left
leeft	left
lefdt	left
lefet	left
lefft	left
lefrt	left
lefted	left
leftr	left
lefts	left
leftt	left
lefty	left
leggs	legs
lerft	left
letf	left
lfet	left
lflank	flank
lfoot	foot
lhand	hand
likes	like
limbs	limb
lknee	knee
llaceration	laceration
lleft	left
llower	lower
loeft	left
loewr	lower
loower	lower
losse	loss
lossof	loss
losss	loss
loweer	lower
lowere	lower
lowerr	lower
lowert	lower
lowetr	lower
lowewr	lower
lowre	lower
lowwer	lower
lpain	pain
lright	right
lshoulder	shoulder
lside	left_side
lsided	sided
ltfoot	foot
lthand	hand
ltknee	knee
ltshoulder	shoulder
ltside	left_side
lumph	lump
lumpin	lump
lumpon	lump
lumps	lump
lumpto	lump
lunmp	lump
lupm	lump
lweft	left
lwoer	lower
lwrist	wrist
mailaise	malaise
malasie	malaise
maliase	malaise
masses	mass
material	atrial
mechansim	mechanism
medcial	medical
medciation	medication
mediacal	medical
mediacation	medication
mediacl	medical
mediaction	medication
medial	medical
medica	medical
medicail	medical
medicaition	medication
medicaiton	medication
medically	medical
medicaltion	medication
medicat	medication
medicatiion	medication
medicatioin	medication
medications	medication
medicial	medical
mediciation	medication
medicinal	medical
medicla	medical
medics	medic
meeds	meds
meidcal	medical
meidcation	medication
menatal	mental
menatl	mental
menstal	mental
menstral	menstrual
menstual	menstrual
mentally	mental
mentral	mental
mentrual	menstrual
middel	middle
middler	middle
migarine	migraine
migraines	migraine
migriane	migraine
miin	mini
miini	mini
mimni	mini
minii	mini
minin	mini
minio	mini
minir	mini
minire	mini
minirg	mini
miniu	mini
miniw	mini
minmi	mini
minui	mini
mioni	mini
mirgaine	migraine
mirgraine	migraine
mmini	mini
mnii	mini
mnini	mini
mobil	mobile
moini	mini
monthly	month
moring	morning
mothers	mother
motnhs	months
mounth	mouth
mouths	mouth
movements	movement
movemnet	movement
mpain	pain
mulitiple	multiple
mulitple	multiple
multilple	multiple
multiples	multiple
muscel	muscle
muscles	muscle
muscule	muscle
muslce	muscle
mutliple	multiple
nails	nail
nakle	ankle
nare	near
naseua	nausea
nasial	nasal
nasla	nasal
nassal	nasal
nasuea	nausea
nasusea	nausea
nauasea	nausea
nauesa	nausea
nauesea	nausea
nausae	nausea
nauseas	nausea
nauseau	nausea
nauseaus	nausea
nauseax	nausea
nausesa	nausea
nauseua	nausea
naussea	nausea
ncek	neck
neack	neck
nearly	near
neausea	nausea
necka	neck
necks	neck
nedle	needle
needdle	needle
neede	need
needed	need
needel	needle
needes	needs
needl	needle
needles	needle
neeed	need
neeeds	need
nights	night
nigth	night
nkee	knee
nodes	node
noes	nose
noises	noise
noisey	noise
nosebl	nosebleed
nosebleeds	nosebleed
noses	nose
nosex	no_sex
nosie	noise
noted	note
notes	note
notifiaction	notification
notificaiton	notification
notifications	notification
notificiation	notification
notiification	notification
nouse	nose
nousea	nausea
npain	pain
nsoe	nose
nuasea	nausea
nubmness	numbness
numbeness	numbness
numbenss	numbness
numberness	numbness
numbiness	numbness
numbnesss	numbness
numbnessto	numbness
numbnessx	numbness
nummbness	numbness
numnbess	numbness
numnbness	numbness
oabdominal	abdominal
oabscess	abscess
oallergic	allergic
oaltered	altered
oasthma	asthma
oback	back
obiba	biba
obilateral	bilateral
obleeding	bleeding
oblood	blood
obody	body
obodyaches	bodyaches
observ	observe
observed	observe
oburning	burning
obwalk	ob_walk
obwalkin	ob_walkin
ochest	chest
oconstipation	constipation
ocontractions	contractions
ocough	cough
ocoughing	coughing
ocugh	cough
odiarrhea	diarrhea
odifficulty	difficulty
odizziness	dizziness
odyspnea	dyspnea
odysuria	dysuria
oelevated	elevated
oepigastric	epigastric
ofacial	facial
ofall	fall
ofbreath	breath
ofeeling	feeling
ofell	fell
ofever	fever
offace	face
ofhead	head
ofound	found
ofrom	from
ogeneral	general
ogeneralized	generalized
ohead	head
oheadache	headache
oheadaches	headache
ohematuria	hematuria
ohere	here
ohigh	high
oinjury	injury
olabor	labor
olaceration	laceration
oleft	left
olower	lower
onausea	nausea
oneck	neck
onleft	left
onse	onset
onthe	on 
onumbness	numbness
opain	pain
opains	pain
opalpitations	palpitations
opelvic	pelvic
opened	open
opener	open
oproductive	productive
orash	rash
orectal	rectal
orespiratory	respiratory
oright	right
orign	origin
oseizure	seizure
osent	sent
osepsis	sepsis
osharp	sharp
oshort	short
oshortness	shortness
osore	sore
osuture	suture
oswelling	swelling
osyncope	syncope
others	other
othroat	throat
oupper	upper
ovaginal	vaginal
overd	over
overdo	over
overdoes	overdose
overdosed	overdose
overy	ovary
ovomiting	vomiting
oweakness	weakness
owheezing	wheezing
owound	wound
p?óain	pain
p0ain	pain
paain	pain
packin	packing
pahryngitis	pharyngitis
pai8n	pain
pai9n	pain
paian	pain
paibn	pain
paihn	pain
paiin	pain
paijn	pain
paimn	pain
pain`	pain
pain0	pain
pain1	pain
pain2	pain
pain3	pain
paina	pain
painat	pain
painb	pain
painc	pain
paind	pain
paine	pain
painf	pain
painfl	pain
painfu	pain
painfull	painful
paing	pain
painh	pain
paini	pain
painic	panic
painin	pain
painj	pain
paink	pain
painl	pain
painlt	pain
painm	pain
painn	pain
painon	pain
painq	pain
painr	pain
painrt	pain
pains3	pains
painsob	pain_sob
painsts	pains
painsx	pains
painto	pain
painul	pain
painw	pain
painx	pain
painx1	pain
painx2	pain
painx3	pain
painx4	pain
painx5	pain
painx6	pain
painx7	pain
painy	pain
paion	pain
paitent	patient
paiun	pain
palipitations	palpitations
paliptations	palpitations
palpiatation	palpitation
palpiatations	palpitations
palpiltations	palpitations
palpitaiton	palpitation
palpitaitons	palpitations
palpitattion	palpitation
palpitattions	palpitations
palpitiation	palpitation
palpitiations	palpitations
palptiations	palpitations
palptitations	palpitations
pani	panic
panik	panic
panin	pain
panis	penis
paoin	pain
papilitations	palpitations
papiltations	palpitations
papin	pain
paplitation	palpitation
paplitations	palpitations
paplpitations	palpitations
paqin	pain
pasin	pain
passin	pass 
passsed	passed
patches	patch
pateint	patient
patien	patient
patients	patient
pauin	pain
pedesterian	pedestrian
pedestrain	pedestrian
pelivc	pelvic
