icd9	description
01083	other primary progressive tuberculosis tubercle bacilli found in sputum by microscopy
01084	other primary progressive tuberculosis tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01085	other primary progressive tuberculosis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01086	other primary progressive tuberculosis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01090	primary tuberculous infection unspecified unspecified
01091	primary tuberculous infection unspecified bacteriological or histological examination not done
01092	primary tuberculous infection unspecified bacteriological or histological examination unknown at present
01093	primary tuberculous infection unspecified tubercle bacilli found in sputum by microscopy
01094	primary tuberculous infection unspecified tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01095	primary tuberculous infection unspecified tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01096	primary tuberculous infection unspecified tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01100	tuberculosis of lung infiltrative unspecified
01101	tuberculosis of lung infiltrative bacteriological or histological examination not done
01102	tuberculosis of lung infiltrative bacteriological or histological examination unknown at present
01103	tuberculosis of lung infiltrative tubercle bacilli found in sputum by microscopy
01104	tuberculosis of lung infiltrative tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01105	tuberculosis of lung infiltrative tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01106	tuberculosis of lung infiltrative tubercle bacilli not found bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01110	tuberculosis of lung nodular unspecified
01111	tuberculosis of lung nodular bacteriological or histological examination not done
01112	tuberculosis of lung nodular bacteriological or histological examination unknown at present
01113	tuberculosis of lung nodular tubercle bacilli found in sputum by microscopy
01114	tuberculosis of lung nodular tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01115	tuberculosis of lung nodular tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01116	tuberculosis of lung nodular tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01120	tuberculosis of lung with cavitation unspecified
01121	tuberculosis of lung with cavitation bacteriological or histological examination not done
01122	tuberculosis of lung with cavitation bacteriological or histological examination unknown at present
01123	tuberculosis of lung with cavitation tubercle bacilli found in sputum by microscopy
01124	tuberculosis of lung with cavitation tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01125	tuberculosis of lung with cavitation tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01126	tuberculosis of lung with cavitation tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01130	tuberculosis of bronchus unspecified
01131	tuberculosis of bronchus bacteriological or histological examination not done
01132	tuberculosis of bronchus bacteriological or histological examination unknown at present
01133	tuberculosis of bronchus tubercle bacilli found in sputum by microscopy
01134	tuberculosis of bronchus tubercle bacilli not found in sputum by microscopy but found in bacterial culture
01135	tuberculosis of bronchus tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01136	tuberculosis of bronchus tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01140	tuberculous fibrosis of lung unspecified
01141	tuberculous fibrosis of lung bacteriological or histological examination not done
01142	tuberculous fibrosis of lung bacteriological or histological examination unknown at present
01143	tuberculous fibrosis of lung tubercle bacilli found in sputum by microscopy
01144	tuberculous fibrosis of lung tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01145	tuberculous fibrosis of lung tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01146	tuberculous fibrosis of lung tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01150	tuberculous bronchiectasis unspecified
01151	tuberculous bronchiectasis bacteriological or histological examination not done
01152	tuberculous bronchiectasis bacteriological or histological examination unknown at present
01153	tuberculous bronchiectasis tubercle bacilli found in sputum by microscopy
01154	tuberculous bronchiectasis tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01155	tuberculous bronchiectasis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01156	tuberculous bronchiectasis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01160	tuberculous pneumonia any form unspecified
01161	tuberculous pneumonia any form bacteriological or histological examination not done
01162	tuberculous pneumonia any form bacteriological or histological examination unknown at present
01163	tuberculous pneumonia any form tubercle bacilli found in sputum by microscopy
01164	tuberculous pneumonia any form tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01165	tuberculous pneumonia any form tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01166	tuberculous pneumonia any form tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01170	tuberculous pneumothorax unspecified
01171	tuberculous pneumothorax bacteriological or histological examination not done
01172	tuberculous pneumothorax bacteriological or histological examination unknown at present
01173	tuberculous pneumothorax tubercle bacilli found in sputum by microscopy
01174	tuberculous pneumothorax tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01175	tuberculous pneumothorax tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01176	tuberculous pneumothorax tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01180	other specified pulmonary tuberculosis unspecified
01181	other specified pulmonary tuberculosis bacteriological or histological examination not done
01182	other specified pulmonary tuberculosis bacteriological or histological examination unknown at present
01183	other specified pulmonary tuberculosis tubercle bacilli found in sputum by microscopy
01184	other specified pulmonary tuberculosis tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01185	other specified pulmonary tuberculosis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01186	other specified pulmonary tuberculosis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01190	pulmonary tuberculosis unspecified unspecified
01191	pulmonary tuberculosis unspecified bacteriological or histological examination not done
01192	pulmonary tuberculosis unspecified bacteriological or histological examination unknown at present
01193	pulmonary tuberculosis unspecified tubercle bacilli found in sputum by microscopy
01194	pulmonary tuberculosis unspecified tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01195	pulmonary tuberculosis unspecified tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01196	pulmonary tuberculosis unspecified tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01200	tuberculous pleurisy unspecified
01201	tuberculous pleurisy bacteriological or histological examination not done
01202	tuberculous pleurisy bacteriological or histological examination unknown at present
01203	tuberculous pleurisy tubercle bacilli found in sputum by microscopy
01204	tuberculous pleurisy tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01205	tuberculous pleurisy tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01206	tuberculous pleurisy tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01210	tuberculosis of intrathoracic lymph nodes unspecified
01211	tuberculosis of intrathoracic lymph nodes bacteriological or histological examination not done
01212	tuberculosis of intrathoracic lymph nodes bacteriological or histological examination unknown at present
01213	tuberculosis of intrathoracic lymph nodes tubercle bacilli found in sputum by microscopy
01214	tuberculosis of intrathoracic lymph nodes tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01215	tuberculosis of intrathoracic lymph nodes tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01216	tuberculosis of intrathoracic lymph nodes tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01220	isolated tracheal or bronchial tuberculosis unspecified
01221	isolated tracheal or bronchial tuberculosis bacteriological or histological examination not done
01222	isolated tracheal or bronchial tuberculosis bacteriological or histological examination unknown at present
01223	isolated tracheal or bronchial tuberculosis tubercle bacilli found in sputum by microscopy
01224	isolated tracheal or bronchial tuberculosis tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01225	isolated tracheal or bronchial tuberculosis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01226	isolated tracheal or bronchial tuberculosis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01230	tuberculous laryngitis unspecified
01231	tuberculous laryngitis bacteriological or histological examination not done
01232	tuberculous laryngitis bacteriological or histological examination unknown at present
01233	tuberculous laryngitis tubercle bacilli found in sputum by microscopy
01234	tuberculous laryngitis tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01235	tuberculous laryngitis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01236	tuberculous laryngitis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01280	other specified respiratory tuberculosis unspecified
01281	other specified respiratory tuberculosis bacteriological or histological examination not done
01282	other specified respiratory tuberculosis bacteriological or histological examination unknown at present
01283	other specified respiratory tuberculosis tubercle bacilli found in sputum by microscopy
01284	other specified respiratory tuberculosis tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01285	other specified respiratory tuberculosis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01286	other specified respiratory tuberculosis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01300	tuberculous meningitis unspecified
01301	tuberculous meningitis bacteriological or histological examination not done
01302	tuberculous meningitis bacteriological or histological examination unknown at present
01303	tuberculous meningitis tubercle bacilli found in sputum by microscopy
01304	tuberculous meningitis tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01305	tuberculous meningitis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01306	tuberculous meningitis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01310	tuberculoma of meninges unspecified
01311	tuberculoma of meninges bacteriological or histological examination not done
01312	tuberculoma of meninges bacteriological or histological examination unknown at present
01313	tuberculoma of meninges tubercle bacilli found in sputum by microscopy
01314	tuberculoma of meninges tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01315	tuberculoma of meninges tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01316	tuberculoma of meninges tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01320	tuberculoma of brain unspecified
01321	tuberculoma of brain bacteriological or histological examination not done
01322	tuberculoma of brain bacteriological or histological examination unknown at present
01323	tuberculoma of brain tubercle bacilli found in sputum by microscopy
01324	tuberculoma of brain tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01325	tuberculoma of brain tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01326	tuberculoma of brain tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01330	tuberculous abscess of brain unspecified
01331	tuberculous abscess of brain bacteriological or histological examination not done
01332	tuberculous abscess of brain bacteriological or histological examination unknown at present
01333	tuberculous abscess of brain tubercle bacilli found in sputum by microscopy
01334	tuberculous abscess of brain tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01335	tuberculous abscess of brain tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01336	tuberculous abscess of brain tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01340	tuberculoma of spinal cord unspecified
01341	tuberculoma of spinal cord bacteriological or histological examination not done
01342	tuberculoma of spinal cord bacteriological or histological examination unknown at present
01343	tuberculoma of spinal cord tubercle bacilli found in sputum by microscopy
01344	tuberculoma of spinal cord tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01345	tuberculoma of spinal cord tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01346	tuberculoma of spinal cord tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01350	tuberculous abscess of spinal cord unspecified
01351	tuberculous abscess of spinal cord bacteriological or histological examination not done
01352	tuberculous abscess of spinal cord bacteriological or histological examination unknown at present
01353	tuberculous abscess of spinal cord tubercle bacilli found in sputum by microscopy
01354	tuberculous abscess of spinal cord tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01355	tuberculous abscess of spinal cord tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01356	tuberculous abscess of spinal cord tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01360	tuberculous encephalitis or myelitis unspecified
01361	tuberculous encephalitis or myelitis bacteriological or histological examination not done
01362	tuberculous encephalitis or myelitis bacteriological or histological examination unknown at present
01363	tuberculous encephalitis or myelitis tubercle bacilli found in sputum by microscopy
01364	tuberculous encephalitis or myelitis tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01365	tuberculous encephalitis or myelitis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01366	tuberculous encephalitis or myelitis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01380	other specified tuberculosis of central nervous system unspecified
01381	other specified tuberculosis of central nervous system bacteriological or histological examination not done
01382	other specified tuberculosis of central nervous system bacteriological or histological examination unknown at present
01383	other specified tuberculosis of central nervous system tubercle bacilli found in sputum by microscopy
01384	other specified tuberculosis of central nervous system tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01385	other specified tuberculosis of central nervous system tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01386	other specified tuberculosis of central nervous system tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01390	unspecified tuberculosis of central nervous system unspecified
01391	unspecified tuberculosis of central nervous system bacteriological or histological examination not done
01392	unspecified tuberculosis of central nervous system bacteriological or histological examination unknown at present
01393	unspecified tuberculosis of central nervous system tubercle bacilli found in sputum by microscopy
01394	unspecified tuberculosis of central nervous system tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01395	unspecified tuberculosis of central nervous system tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01396	unspecified tuberculosis of central nervous system tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01400	tuberculous peritonitis unspecified
01401	tuberculous peritonitis bacteriological or histological examination not done
01402	tuberculous peritonitis bacteriological or histological examination unknown at present
01403	tuberculous peritonitis tubercle bacilli found in sputum by microscopy
01404	tuberculous peritonitis tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01405	tuberculous peritonitis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01406	tuberculous peritonitis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01480	other tuberculosis of intestines peritoneum and mesenteric glands unspecified
01481	other tuberculosis of intestines peritoneum and mesenteric glands bacteriological or histological examination not done
01482	other tuberculosis of intestines peritoneum and mesenteric glands bacteriological or histological examination unknown at present
01483	other tuberculosis of intestines peritoneum and mesenteric glands tubercle bacilli found in sputum by microscopy
01484	other tuberculosis of intestines peritoneum and mesenteric glands tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01485	other tuberculosis of intestines peritoneum and mesenteric glands tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01486	other tuberculosis of intestines peritoneum and mesenteric glands tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01500	tuberculosis of vertebral column unspecified
01501	tuberculosis of vertebral column bacteriological or histological examination not done
01502	tuberculosis of vertebral column bacteriological or histological examination unknown at present
01503	tuberculosis of vertebral column tubercle bacilli found in sputum by microscopy
01504	tuberculosis of vertebral column tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01505	tuberculosis of vertebral column tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01506	tuberculosis of vertebral column tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01510	tuberculosis of hip unspecified
01511	tuberculosis of hip bacteriological or histological examination not done
01512	tuberculosis of hip bacteriological or histological examination unknown at present
01513	tuberculosis of hip tubercle bacilli found in sputum by microscopy
01514	tuberculosis of hip tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01515	tuberculosis of hip tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01516	tuberculosis of hip tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01520	tuberculosis of knee unspecified
01521	tuberculosis of knee bacteriological or histological examination not done
01522	tuberculosis of knee bacteriological or histological examination unknown at present
01523	tuberculosis of knee tubercle bacilli found in sputum by microscopy
01524	tuberculosis of knee tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01525	tuberculosis of knee tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01526	tuberculosis of knee tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01550	tuberculosis of limb bones unspecified
01551	tuberculosis of limb bones bacteriological or histological examination not done
01552	tuberculosis of limb bones bacteriological or histological examination unknown at present
01553	tuberculosis of limb bones tubercle bacilli found in sputum by microscopy
01554	tuberculosis of limb bones tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01555	tuberculosis of limb bones tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01556	tuberculosis of limb bones tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01560	tuberculosis of mastoid unspecified
01561	tuberculosis of mastoid bacteriological or histological examination not done
01562	tuberculosis of mastoid bacteriological or histological examination unknown at present
01563	tuberculosis of mastoid tubercle bacilli found in sputum by microscopy
01564	tuberculosis of mastoid tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01565	tuberculosis of mastoid tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01566	tuberculosis of mastoid tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01570	tuberculosis of other specified bone unspecified
01571	tuberculosis of other specified bone bacteriological or histological examination not done
01572	tuberculosis of other specified bone bacteriological or histological examination unknown at present
01573	tuberculosis of other specified bone tubercle bacilli found in sputum by microscopy
01574	tuberculosis of other specified bone tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01575	tuberculosis of other specified bone tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01576	tuberculosis of other specified bone tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01580	tuberculosis of other specified joint unspecified
01581	tuberculosis of other specified joint bacteriological or histological examination not done
01582	tuberculosis of other specified joint bacteriological or histological examination unknown at present
01583	tuberculosis of other specified joint tubercle bacilli found in sputum by microscopy
01584	tuberculosis of other specified joint tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01585	tuberculosis of other specified joint tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01586	tuberculosis of other specified joint tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01590	tuberculosis of unspecified bones and joints unspecified
01591	tuberculosis of unspecified bones and joints bacteriological or histological examination not done
01592	tuberculosis of unspecified bones and joints bacteriological or histological examination unknown at present
01593	tuberculosis of unspecified bones and joints tubercle bacilli found in sputum by microscopy
01594	tuberculosis of unspecified bones and joints tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01595	tuberculosis of unspecified bones and joints tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01596	tuberculosis of unspecified bones and joints tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01600	tuberculosis of kidney unspecified
01601	tuberculosis of kidney bacteriological or histological examination not done
01602	tuberculosis of kidney bacteriological or histological examination unknown at present
01603	tuberculosis of kidney tubercle bacilli found in sputum by microscopy
01604	tuberculosis of kidney tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01605	tuberculosis of kidney tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01606	tuberculosis of kidney tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01610	tuberculosis of bladder unspecified
01611	tuberculosis of bladder bacteriological or histological examination not done
01612	tuberculosis of bladder bacteriological or histological examination unknown at present
01613	tuberculosis of bladder tubercle bacilli found in sputum by microscopy
01614	tuberculosis of bladder tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01615	tuberculosis of bladder tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01616	tuberculosis of bladder tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01620	tuberculosis of ureter unspecified
01621	tuberculosis of ureter bacteriological or histological examination not done
01622	tuberculosis of ureter bacteriological or histological examination unknown at present
01623	tuberculosis of ureter tubercle bacilli found in sputum by microscopy
01624	tuberculosis of ureter tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01625	tuberculosis of ureter tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01626	tuberculosis of ureter tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01630	tuberculosis of other urinary organs unspecified
01631	tuberculosis of other urinary organs bacteriological or histological examination not done
01632	tuberculosis of other urinary organs bacteriological or histological examination unknown at present
01633	tuberculosis of other urinary organs tubercle bacilli found in sputum by microscopy
01634	tuberculosis of other urinary organs tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01635	tuberculosis of other urinary organs tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01636	tuberculosis of other urinary organs tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01640	tuberculosis of epididymis unspecified
01641	tuberculosis of epididymis bacteriological or histological examination not done
01642	tuberculosis of epididymis bacteriological or histological examination unknown at present
01643	tuberculosis of epididymis tubercle bacilli found in sputum by microscopy
01644	tuberculosis of epididymis tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01645	tuberculosis of epididymis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01646	tuberculosis of epididymis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01650	tuberculosis of other male genital organs unspecified
01651	tuberculosis of other male genital organs bacteriological or histological examination not done
01652	tuberculosis of other male genital organs bacteriological or histological examination unknown at present
01653	tuberculosis of other male genital organs tubercle bacilli found in sputum by microscopy
01654	tuberculosis of other male genital organs tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01655	tuberculosis of other male genital organs tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01656	tuberculosis of other male genital organs tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01660	tuberculous oophoritis and salpingitis unspecified
01661	tuberculous oophoritis and salpingitis bacteriological or histological examination not done
01662	tuberculous oophoritis and salpingitis bacteriological or histological examination unknown at present
01663	tuberculous oophoritis and salpingitis tubercle bacilli found in sputum by microscopy
01664	tuberculous oophoritis and salpingitis tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01665	tuberculous oophoritis and salpingitis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01666	tuberculous oophoritis and salpingitis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01670	tuberculosis of other female genital organs unspecified
01671	tuberculosis of other female genital organs bacteriological or histological examination not done
01672	tuberculosis of other female genital organs bacteriological or histological examination unknown at present
01673	tuberculosis of other female genital organs tubercle bacilli found in sputum by microscopy
01674	tuberculosis of other female genital organs tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01675	tuberculosis of other female genital organs tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01676	tuberculosis of other female genital organs tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01690	genitourinary tuberculosis unspecified unspecified
01691	genitourinary tuberculosis unspecified bacteriological or histological examination not done
01692	genitourinary tuberculosis unspecified bacteriological or histological examination unknown at present
01693	genitourinary tuberculosis unspecified tubercle bacilli found in sputum by microscopy
01694	genitourinary tuberculosis unspecified tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01695	genitourinary tuberculosis unspecified tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01696	genitourinary tuberculosis unspecified tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
